Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
0.0,28.2,0.0,91,141.8,893.7,852.1,531.3
93.8,23.4,0.0,7,126.6,992.6,852.1,375.0
98.1,6.7,24.5,100,181.7,785.5,1066.0,213.8
200.0,0.0,0.0,28,192.0,839.2,927.4,133.0
0.0,9.1,142.8,28,193.3,696.7,1047.4,154.8
26.0,3.9,123.0,28,201.0,699.0,822.0,491.0
0.0,0.0,0.0,120,192.0,809.0,1056.0,349.0
203.5,0.0,0.0,28,203.5,631.0,965.4,305.3
0.0,10.4,100.4,28,159.4,903.8,1003.8,212.6
0.0,8.2,0.0,28,162.0,802.0,801.0,516.0
45.2,8.2,122.0,3,170.2,780.7,1059.4,182.0
180.0,9.5,95.0,28,159.0,800.0,860.0,250.0
42.1,5.7,163.8,14,121.8,780.1,1058.7,168.0
132.4,0.0,0.0,180,192.0,825.5,978.4,198.6
0.0,9.5,117.5,100,174.8,753.5,1022.8,297.2
192.0,0.0,0.0,28,192.0,717.8,932.0,288.0
0.0,0.0,0.0,7,186.0,789.0,1119.0,238.0
0.0,0.0,0.0,90,192.0,785.6,940.6,393.0
47.5,0.0,0.0,7,228.0,594.0,932.0,427.5
42.2,10.8,124.3,28,158.3,796.2,1080.8,168.9
0.0,8.9,95.6,56,171.5,859.2,955.1,295.7
0.0,0.0,0.0,180,193.0,812.0,968.0,307.0
20.0,13.9,94.0,56,157.0,845.0,938.0,387.0
0.0,9.9,121.4,28,159.5,777.5,1053.6,275.1
189.0,11.6,0.0,3,164.9,755.8,944.7,362.6
282.8,10.3,0.0,28,183.8,659.9,942.7,323.7
190.0,19.0,148.0,28,179.0,741.0,838.0,162.0
175.1,2.2,0.0,28,171.2,828.5,1000.0,147.8
0.0,11.3,0.0,28,165.0,745.0,1030.0,451.0
189.0,22.0,0.0,56,145.9,755.8,944.7,389.9
106.3,16.5,0.0,7,153.5,887.1,852.1,425.0
0.0,6.7,0.0,28,190.2,730.4,1013.2,374.3
106.3,16.5,0.0,28,153.5,887.1,852.1,425.0
262.2,8.6,0.0,91,175.5,611.8,1046.9,313.3
122.6,0.0,0.0,3,203.5,800.0,959.2,183.9
75.4,7.9,167.0,100,164.0,770.1,1007.3,167.0
