Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
0.34,0.9947,3.19,7.0,0.55,0.066,11.4,3.0,9.8,1.4,0.39
0.62,0.9972,3.31,37.0,0.58,0.088,10.7,16.0,8.0,2.7,0.33
0.63,0.99578,3.44,43.0,0.64,0.08,10.9,27.0,7.6,2.0,0.03
0.36,0.99534,3.4,44.0,0.85,0.074,11.0,24.0,7.2,2.1,0.46
0.885,0.9946,3.11,31.0,0.46,0.086,10.0,7.0,8.2,1.4,0.2
0.41,0.9996,3.15,54.0,0.89,0.076,9.9,22.0,10.4,3.2,0.55
0.34,1.0014,3.05,53.0,0.81,0.094,9.5,17.0,13.3,3.2,0.52
0.62,0.9986,3.16,145.0,0.88,0.176,9.2,52.0,8.9,3.8,0.18
0.59,0.9958,3.41,53.0,0.67,0.063,9.7,34.0,6.8,1.7,0.1
0.31,0.99615,3.33,31.0,0.86,0.079,12.0,11.0,9.2,2.2,0.36
0.45,0.99551,3.21,21.0,0.75,0.076,10.2,12.0,8.8,1.4,0.43
0.5,0.996,3.39,102.0,0.48,0.082,9.5,21.0,7.8,1.6,0.17
0.795,0.9994,3.35,26.0,0.83,0.096,9.4,11.0,9.1,2.6,0.0
0.35,0.9971,3.26,14.0,0.79,0.062,10.6,5.0,9.9,2.1,0.55
0.65,0.99348,3.57,18.0,0.54,0.05,11.95,6.0,6.2,1.6,0.06
0.685,0.99694,3.32,23.0,0.47,0.088,9.4,16.0,8.8,1.6,0.26
0.54,0.9991,3.39,40.0,0.62,0.071,9.4,16.0,9.9,2.3,0.45
0.43,0.9973,3.42,128.0,0.71,0.071,10.5,28.0,7.1,5.5,0.42
0.67,0.99736,3.2,75.0,0.59,0.093,9.2,11.0,8.4,2.2,0.19
0.685,0.9979,3.6,63.0,0.81,0.067,9.9,40.0,7.0,1.9,0.0
0.675,0.9958,3.35,82.0,0.54,0.089,10.1,17.0,6.7,2.4,0.07
0.23,0.9981,3.14,8.0,0.7,0.074,9.9,3.0,11.6,1.8,0.57
0.57,0.99518,3.41,41.0,0.52,0.081,10.8,21.0,6.9,2.8,0.0
0.35,0.9972,3.15,16.0,0.65,0.07,11.0,5.0,10.7,2.6,0.53
0.61,0.99746,3.69,25.0,0.73,0.08,10.5,8.0,6.6,1.9,0.01
0.82,0.99814,3.36,96.0,0.53,0.081,10.0,26.0,9.0,2.4,0.05
0.41,0.9996,3.15,54.0,0.89,0.076,9.9,22.0,10.4,3.2,0.55
0.42,0.9978,3.02,43.0,0.61,0.073,9.5,19.0,12.4,4.6,0.49
0.63,0.9974,3.09,33.0,0.57,0.077,9.4,6.0,9.9,2.4,0.24
0.725,0.9967,3.36,41.0,0.55,0.072,9.1,11.0,8.1,2.2,0.22
0.61,0.99525,3.42,10.0,0.6,0.057,9.5,5.0,6.8,1.5,0.04
0.25,0.9982,3.42,33.0,0.9,0.088,10.0,15.0,9.8,2.7,0.49
0.655,0.99587,3.34,12.0,0.39,0.078,9.5,7.0,7.2,1.8,0.03
0.35,0.9964,3.27,102.0,0.58,0.073,9.5,46.0,7.9,1.9,0.21
0.66,0.9962,3.4,9.0,0.47,0.039,9.4,4.0,7.7,1.6,0.04
0.685,0.99606,3.34,22.0,0.6,0.099,9.7,9.0,7.0,1.9,0.0
0.84,0.9997,3.1,35.0,0.6,0.088,10.4,13.0,12.8,2.4,0.63
0.6,0.99306,3.55,26.0,0.51,0.048,12.1,12.0,6.3,1.6,0.1
0.725,0.99655,3.35,17.0,0.49,0.117,10.8,9.0,6.6,5.5,0.09
0.58,0.9974,3.13,32.0,0.55,0.08,9.5,9.0,10.0,1.9,0.22
0.775,0.9984,3.31,56.0,0.67,0.078,10.6,24.0,9.3,2.8,0.27
0.3,0.9948,3.14,9.0,0.57,0.062,11.5,3.0,9.8,1.7,0.39
0.45,0.99354,3.3,12.0,0.65,0.043,11.4,6.0,6.9,2.4,0.11
0.44,0.99745,3.29,24.0,0.99,0.092,12.0,11.0,10.2,4.1,0.58
0.46,0.9948,3.39,34.0,0.6,0.077,10.6,18.0,6.7,1.7,0.24
0.43,0.99538,3.44,11.0,0.54,0.082,12.2,6.0,7.6,2.7,0.4
0.51,0.9929,3.33,27.0,0.59,0.064,12.8,12.0,6.5,3.0,0.15
0.765,0.99619,3.33,22.0,0.68,0.084,10.9,9.0,7.9,2.0,0.0
0.56,0.9991,3.18,58.0,0.56,0.079,10.1,19.0,10.0,2.2,0.24
0.47,1.0021,3.3,47.0,0.68,0.085,12.7,6.0,13.0,4.3,0.49
0.39,1.0004,3.16,18.0,0.49,0.091,9.5,6.0,12.3,2.3,0.63
0.58,0.99352,3.46,70.0,0.65,0.044,12.5,16.0,6.1,2.5,0.23
0.47,0.9976,3.3,135.0,0.53,0.076,9.4,30.0,8.6,3.0,0.3
0.56,0.9948,3.59,9.0,0.54,0.079,11.5,6.0,6.1,2.2,0.0
0.37,0.99708,3.33,82.0,0.68,0.082,9.7,18.0,7.4,2.6,0.43
0.75,0.99664,3.24,89.0,0.45,0.11,9.3,34.0,7.7,3.8,0.27
0.47,0.99516,3.18,28.0,0.8,0.055,11.2,14.0,8.6,2.3,0.27
0.62,0.9988,3.22,19.0,0.69,0.086,13.4,6.0,11.3,5.2,0.67
0.57,0.99675,3.26,119.0,0.57,0.073,9.3,17.0,8.0,3.2,0.23
0.645,0.9969,3.37,57.0,0.46,0.086,10.3,14.0,7.6,1.9,0.03
0.4,0.9968,3.43,40.0,0.63,0.085,9.7,21.0,6.9,2.4,0.14
0.92,0.9998,3.48,93.0,0.54,0.087,9.8,12.0,9.2,2.6,0.24
