Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
0,1,0.0945333,0,6,0,0.513333,0.68,0.637629,3,0
0,2,0.264308,1,2,3,0.775417,0.26,0.254417,1,0
1,1,0.174129,1,12,4,0.485833,0.295833,0.294188,4,0
0,3,0.138054,1,11,1,0.91,0.4475,0.445062,4,0
0,1,0.230092,0,5,6,0.729583,0.655833,0.612379,2,0
0,1,0.208342,0,7,6,0.585,0.686667,0.638263,3,0
0,2,0.157963,0,1,6,0.49875,0.233333,0.248112,1,0
1,2,0.238813,1,8,5,0.715833,0.715833,0.667942,3,0
0,1,0.153608,0,9,6,0.75375,0.66,0.607962,3,0
0,1,0.248754,0,8,0,0.77,0.710833,0.675525,3,0
1,2,0.156096,1,5,2,0.659583,0.613333,0.577021,2,0
1,1,0.253733,1,6,4,0.569583,0.648333,0.624383,2,0
0,1,0.304659,0,8,0,0.561765,0.707059,0.647959,3,0
0,1,0.15833,1,1,1,0.491739,0.0973913,0.11793,1,0
1,1,0.118167,1,9,4,0.618333,0.546667,0.532192,3,0
0,1,0.1107,1,4,4,0.540417,0.4675,0.462742,2,0
1,1,0.141796,1,8,4,0.519167,0.719167,0.654688,3,0
1,2,0.281104,0,9,6,0.799167,0.659167,0.611121,3,0
0,2,0.152979,0,5,0,0.867083,0.5625,0.536,2,0
1,1,0.261817,1,1,2,0.416667,0.39,0.381317,1,0
0,2,0.148629,1,9,3,0.84875,0.635,0.575158,4,0
0,1,0.174138,1,7,5,0.5425,0.838333,0.785967,3,0
0,2,0.13495,0,5,6,0.9225,0.520833,0.500629,2,0
0,2,0.288783,1,3,1,0.737391,0.430435,0.409735,2,0
1,1,0.10635,1,10,5,0.6275,0.615,0.580187,4,0
1,2,0.237562,1,11,2,0.786667,0.291667,0.281558,4,0
1,1,0.207713,1,3,1,0.489167,0.466667,0.459592,1,0
0,2,0.219521,1,4,5,0.729583,0.336667,0.321954,2,0
0,1,0.282337,1,7,1,0.635833,0.7625,0.729804,3,0
1,1,0.421642,0,2,6,0.395833,0.290833,0.255675,1,0
0,1,0.131221,0,7,6,0.5,0.849167,0.804287,3,0
1,2,0.0721458,1,8,5,0.615,0.7025,0.6471,3,0
1,2,0.222642,0,1,6,0.83125,0.173333,0.174875,1,0
1,1,0.236325,1,11,1,0.494167,0.319167,0.308075,4,0
0,1,0.368167,0,3,6,0.379167,0.4725,0.466525,1,0
1,2,0.116908,1,8,2,0.70375,0.735833,0.697621,3,0
1,2,0.208967,1,7,5,0.844167,0.665833,0.613025,3,0
1,1,0.173513,1,11,2,0.567083,0.280833,0.281567,4,0
0,1,0.115054,0,9,0,0.71375,0.653333,0.609229,3,0
1,1,0.31965,1,3,4,0.439167,0.494167,0.482304,2,0
0,1,0.0454083,1,2,1,0.738333,0.271667,0.303658,1,0
1,1,0.225117,0,5,0,0.57625,0.6125,0.585238,2,0
0,2,0.164183,1,9,5,0.590417,0.469167,0.461475,3,0
0,1,0.189667,1,5,4,0.7475,0.535,0.523363,2,0
0,1,0.178483,0,9,0,0.695,0.5075,0.490537,3,0
0,1,0.27675,1,8,1,0.47,0.691667,0.638254,3,0
0,1,0.195683,1,2,2,0.577778,0.182222,0.186033,1,0
0,2,0.0503792,0,9,0,0.845,0.634167,0.572637,4,0
0,1,0.160296,1,1,2,0.590435,0.2,0.212122,1,0
0,1,0.12065,1,3,2,0.420833,0.2925,0.3024,1,0
1,1,0.195267,1,7,1,0.447083,0.781667,0.702038,3,0
0,1,0.166658,1,10,2,0.622917,0.471667,0.463375,4,0
0,1,0.20585,1,8,2,0.49125,0.783333,0.707071,3,0
0,1,0.314675,0,11,5,0.44625,0.324167,0.306817,4,1
0,2,0.187192,1,1,1,0.60375,0.180833,0.18625,1,0
0,1,0.200254,1,7,2,0.559167,0.794167,0.739275,3,0
