Col1,Col7
0.34,11.4
0.62,10.7
0.63,10.9
0.36,11.0
0.885,10.0
0.41,9.9
0.34,9.5
0.62,9.2
0.59,9.7
0.31,12.0
0.45,10.2
0.5,9.5
0.795,9.4
0.35,10.6
0.65,11.95
0.685,9.4
0.54,9.4
0.43,10.5
0.67,9.2
0.685,9.9
0.675,10.1
0.23,9.9
0.57,10.8
0.35,11.0
0.61,10.5
0.82,10.0
0.41,9.9
0.42,9.5
0.63,9.4
0.725,9.1
0.61,9.5
0.25,10.0
0.655,9.5
0.35,9.5
0.66,9.4
0.685,9.7
0.84,10.4
0.6,12.1
0.725,10.8
0.58,9.5
0.775,10.6
0.3,11.5
0.45,11.4
0.44,12.0
0.46,10.6
0.43,12.2
0.51,12.8
0.765,10.9
0.56,10.1
0.47,12.7
0.39,9.5
0.58,12.5
0.47,9.4
0.56,11.5
0.37,9.7
0.75,9.3
0.47,11.2
0.62,13.4
0.57,9.3
0.645,10.3
0.4,9.7
0.92,9.8
0.42,10.0
0.86,11.7
0.885,9.1
0.51,10.7
0.54,11.0
0.59,9.6
0.35,10.0
0.61,9.5
0.41,10.6
0.39,9.7
0.29,9.5
0.49,9.3
0.55,10.9
0.53,9.9
0.31,9.5
0.62,9.5
0.765,9.7
0.695,9.2
0.57,10.8
0.59,10.2
0.77,9.8
0.48,9.7
0.31,12.5
0.4,9.3
0.53,11.7
0.54,10.0
1.02,10.1
0.725,9.2
0.685,10.1
0.32,10.1
0.315,11.9
0.39,9.8
0.605,11.8
0.31,9.7
0.59,10.2
0.36,10.9
0.37,9.8
0.43,9.0
0.56,9.6
0.635,9.7
0.31,12.5
0.73,9.6
0.57,9.4
0.42,11.7
0.35,12.0
0.61,9.7
0.66,12.8
0.5,9.5
0.57,10.3
0.56,11.3
0.35,9.5
0.46,9.6
0.68,9.2
0.43,11.1
0.37,11.0
0.34,11.2
0.29,13.5
0.6,12.9
0.735,9.9
0.66,9.3
0.66,9.6
0.615,10.0
0.615,10.0
0.37,11.1
0.24,8.7
0.475,10.0333333333333
0.64,11.0
0.43,10.6
0.6,10.2
0.52,9.4
0.58,12.6
0.645,9.8
0.64,9.4
0.41,9.3
0.645,9.2
0.43,9.2
0.69,11.6
0.38,9.5
0.56,10.0
0.66,10.4
0.5,10.9
0.6,9.9
0.55,10.3
0.46,11.0
0.34,9.4
0.64,9.5
0.24,11.0
0.855,11.0
0.57,10.1
1.035,9.9
0.49,12.5
0.645,11.1
0.52,9.0
0.35,12.0
0.3,10.5
0.54,9.8
0.43,10.3
0.28,9.9
0.28,9.4
0.4,10.3
0.6,10.9
0.18,10.1
0.31,11.8
0.24,10.2
0.6,10.1
0.43,10.4
0.44,11.7
0.4,9.5
0.64,11.0
0.43,10.5
0.31,11.8
0.43,10.0
0.6,11.0
0.4,9.5
0.3,10.3
0.63,9.5
0.51,10.2
0.56,10.9
0.57,9.5
0.45,10.4
0.61,10.9
0.5,9.6
0.68,9.9
0.52,10.8
0.54,13.1
0.46,9.8
0.835,10.0
0.715,11.8
0.31,10.5
0.61,9.8
0.635,10.9
0.36,9.5
0.67,9.5
0.27,10.2
0.57,9.3
0.34,14.0
0.67,10.2
0.84,9.1
0.51,10.5
0.69,9.3
0.35,10.6
0.51,10.5
0.915,11.1
0.46,10.2
0.63,9.0
0.38,10.4
0.39,9.5
0.32,11.4
0.43,9.5
0.545,10.7
0.29,11.9
0.33,11.1
0.41,9.4
0.53,9.5
0.9,9.8
0.59,11.0
0.51,11.5
0.46,10.6
0.54,9.4
0.43,9.5
0.38,11.4
0.58,11.6
0.28,12.8
0.52,10.0
0.36,12.8
0.78,10.6
0.44,11.9
0.62,9.7
0.65,9.5
0.48,11.2
0.785,9.56666666666667
0.54,9.4
0.49,9.0
0.49,9.2
0.52,10.6
0.59,9.4
0.63,10.8
0.54,11.4
0.63,9.8
0.36,9.4
0.68,10.2
0.63,9.5
0.38,11.4
0.74,11.5
0.48,12.1
0.725,10.8
0.5,9.5
0.52,9.4
0.22,10.3
0.705,9.7
0.32,10.6
0.7,9.4
0.49,9.7
