Col1,Col5,Col7,Col11
0.34,0.55,11.4,0.39
0.62,0.58,10.7,0.33
0.63,0.64,10.9,0.03
0.36,0.85,11.0,0.46
0.885,0.46,10.0,0.2
0.41,0.89,9.9,0.55
0.34,0.81,9.5,0.52
0.62,0.88,9.2,0.18
0.59,0.67,9.7,0.1
0.31,0.86,12.0,0.36
0.45,0.75,10.2,0.43
0.5,0.48,9.5,0.17
0.795,0.83,9.4,0.0
0.35,0.79,10.6,0.55
0.65,0.54,11.95,0.06
0.685,0.47,9.4,0.26
0.54,0.62,9.4,0.45
0.43,0.71,10.5,0.42
0.67,0.59,9.2,0.19
0.685,0.81,9.9,0.0
0.675,0.54,10.1,0.07
0.23,0.7,9.9,0.57
0.57,0.52,10.8,0.0
0.35,0.65,11.0,0.53
0.61,0.73,10.5,0.01
0.82,0.53,10.0,0.05
0.41,0.89,9.9,0.55
0.42,0.61,9.5,0.49
0.63,0.57,9.4,0.24
0.725,0.55,9.1,0.22
0.61,0.6,9.5,0.04
0.25,0.9,10.0,0.49
0.655,0.39,9.5,0.03
0.35,0.58,9.5,0.21
0.66,0.47,9.4,0.04
0.685,0.6,9.7,0.0
0.84,0.6,10.4,0.63
0.6,0.51,12.1,0.1
0.725,0.49,10.8,0.09
0.58,0.55,9.5,0.22
0.775,0.67,10.6,0.27
0.3,0.57,11.5,0.39
0.45,0.65,11.4,0.11
0.44,0.99,12.0,0.58
0.46,0.6,10.6,0.24
0.43,0.54,12.2,0.4
0.51,0.59,12.8,0.15
0.765,0.68,10.9,0.0
0.56,0.56,10.1,0.24
0.47,0.68,12.7,0.49
0.39,0.49,9.5,0.63
0.58,0.65,12.5,0.23
0.47,0.53,9.4,0.3
0.56,0.54,11.5,0.0
0.37,0.68,9.7,0.43
0.75,0.45,9.3,0.27
0.47,0.8,11.2,0.27
0.62,0.69,13.4,0.67
0.57,0.57,9.3,0.23
0.645,0.46,10.3,0.03
0.4,0.63,9.7,0.14
0.92,0.54,9.8,0.24
0.42,0.59,10.0,0.08
0.86,0.74,11.7,0.07
0.885,0.33,9.1,0.03
0.51,0.93,10.7,0.0
0.54,0.71,11.0,0.27
0.59,0.67,9.6,0.24
0.35,0.54,10.0,0.24
0.61,0.59,9.5,0.14
0.41,1.16,10.6,0.43
0.39,0.65,9.7,0.31
0.29,0.58,9.5,0.52
0.49,0.8,9.3,0.26
0.55,0.6,10.9,0.04
0.53,0.68,9.9,0.13
0.31,1.62,9.5,0.3
0.62,0.53,9.5,0.04
0.765,0.54,9.7,0.04
0.695,0.67,9.2,0.0
0.57,0.76,10.8,0.1
0.59,0.63,10.2,0.31
0.77,0.5,9.8,0.32
0.48,0.53,9.7,0.02
0.31,0.59,12.5,0.34
0.4,0.67,9.3,0.41
0.53,0.56,11.7,0.49
0.54,0.61,10.0,0.28
1.02,0.57,10.1,0.43
0.725,0.54,9.2,0.2
0.685,0.7,10.1,0.11
0.32,0.44,10.1,0.25
0.315,0.67,11.9,0.4
0.39,0.75,9.8,0.47
0.605,0.53,11.8,0.02
0.31,0.53,9.7,0.57
0.59,0.63,10.2,0.31
0.36,0.73,10.9,0.39
0.37,0.59,9.8,0.39
0.43,0.49,9.0,0.58
0.56,0.44,9.6,0.04
0.635,0.54,9.7,0.07
0.31,0.77,12.5,0.39
0.73,0.46,9.6,0.0
0.57,0.55,9.4,0.27
0.42,0.69,11.7,0.39
0.35,0.7,12.0,0.4
0.61,0.6,9.7,0.02
0.66,0.63,12.8,0.0
0.5,0.45,9.5,0.0
0.57,0.6,10.3,0.05
0.56,0.6,11.3,0.09
0.35,0.5,9.5,0.41
0.46,0.57,9.6,0.49
0.68,1.08,9.2,0.02
0.43,0.59,11.1,0.24
0.37,0.58,11.0,0.65
0.34,0.54,11.2,0.36
0.29,0.54,13.5,0.26
0.6,0.6,12.9,0.17
0.735,0.53,9.9,0.02
0.66,0.6,9.3,0.07
0.66,0.54,9.6,0.15
0.615,0.73,10.0,0.66
0.615,0.73,10.0,0.66
0.37,0.58,11.1,0.52
0.24,0.87,8.7,0.4
0.475,0.65,10.0333333333333,0.4
0.64,0.45,11.0,0.02
0.43,0.81,10.6,0.02
0.6,0.62,10.2,0.12
0.52,0.52,9.4,0.38
0.58,0.66,12.6,0.02
0.645,0.59,9.8,0.0
0.64,0.67,9.4,0.02
0.41,1.31,9.3,0.68
0.645,0.58,9.2,0.0
0.43,0.56,9.2,0.36
0.69,0.74,11.6,0.31
0.38,0.59,9.5,0.3
0.56,0.63,10.0,0.03
0.66,0.55,10.4,0.17
0.5,0.68,10.9,0.36
0.6,0.49,9.9,0.22
0.55,0.64,10.3,0.23
0.46,0.73,11.0,0.49
0.34,0.64,9.4,0.52
0.64,0.5,9.5,0.17
0.24,0.9,11.0,0.47
0.855,0.6,11.0,0.02
0.57,0.43,10.1,0.26
1.035,0.49,9.9,0.15
0.49,0.78,12.5,0.63
0.645,0.74,11.1,0.49
0.52,0.65,9.0,0.25
0.35,0.66,12.0,0.49
0.3,0.88,10.5,0.58
0.54,0.64,9.8,0.13
0.43,0.54,10.3,0.29
0.28,0.66,9.9,0.49
0.28,0.89,9.4,0.51
0.4,0.7,10.3,0.12
0.6,0.61,10.9,0.01
0.18,0.97,10.1,0.51
0.31,0.79,11.8,0.4
0.24,0.9,10.2,0.33
0.6,0.62,10.1,0.06
0.43,0.85,10.4,0.66
0.44,0.85,11.7,0.0
0.4,0.59,9.5,0.29
0.64,0.63,11.0,0.0
0.43,0.72,10.5,0.42
0.31,0.69,11.8,0.36
0.43,0.64,10.0,0.4
0.6,0.54,11.0,0.08
0.4,0.65,9.5,0.3
0.3,0.78,10.3,0.48
0.63,0.45,9.5,0.0
0.51,0.63,10.2,0.15
0.56,0.87,10.9,0.49
0.57,0.69,9.5,0.31
0.45,0.63,10.4,0.49
0.61,0.66,10.9,0.11
0.5,0.72,9.6,0.18
0.68,0.7,9.9,0.16
0.52,0.59,10.8,0.13
0.54,0.72,13.1,0.34
0.46,0.65,9.8,0.14
0.835,0.52,10.0,0.0
0.715,0.57,11.8,0.01
0.31,0.8,10.5,0.47
0.61,0.53,9.8,0.26
0.635,0.75,10.9,0.1
0.36,0.62,9.5,0.31
0.67,0.71,9.5,0.55
0.27,0.8,10.2,0.49
0.57,0.53,9.3,0.31
0.34,0.79,14.0,0.0
0.67,0.56,10.2,0.3
0.84,0.48,9.1,0.34
